frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,class_name,helmet_bbox,no_helmet_bbox
164,3.0,[2028.9633907933132 827.6990548151906 2677.2807494234066 1931.947608377553],[2307.41162109375 963.9794921875 2605.9833984375 1068.62841796875],0.5185996890068054,MH12TE7032,0.3940213788215231,[2],[0 0 0 0],[0 0 0 0]
164,-1,[-1 -1 -1 -1],[2229.506591796875 287.0425109863281 2447.40234375 589.7495727539062],0.27762874960899353,MH12TE7032,0.3940213788215231,[0],[0 0 0 0],[2229.506591796875 287.0425109863281 2447.40234375 589.7495727539062]
174,3.0,[2041.6968491209177 868.3191048198479 2721.695518339769 2032.6933375322983],[2319.40576171875 998.0220336914062 2680.571044921875 1140.9669189453125],0.4323584735393524,MH12TE7032,0.6747824015652506,[2],[0 0 0 0],[0 0 0 0]
174,-1,[-1 -1 -1 -1],[2265.446044921875 297.1495056152344 2466.843017578125 573.614013671875],0.39000585675239563,MH12TE7032,0.6747824015652506,[0],[0 0 0 0],[2265.446044921875 297.1495056152344 2466.843017578125 573.614013671875]
184,3.0,[2053.8918069504034 872.2007403798926 2776.1598074234653 2123.9650776939166],[2362.503173828125 1034.66015625 2730.2373046875 1185.3701171875],0.4700210690498352,MH12TE7032,0.5920766208644803,[2],[0 0 0 0],[0 0 0 0]
184,-1,[-1 -1 -1 -1],[2271.699462890625 290.45220947265625 2516.83740234375 597.2593383789062],0.3606744110584259,MH12TE7032,0.5920766208644803,[0],[0 0 0 0],[2271.699462890625 290.45220947265625 2516.83740234375 597.2593383789062]
185,3.0,[2056.1212811230594 876.7013178168414 2784.058548648642 2133.05569851348],[2398.77197265625 1058.67333984375 2751.45947265625 1177.5941162109375],0.27710071206092834,MH12TE7032,0.6531260165199069,[2],[0 0 0 0],[0 0 0 0]
187,3.0,[2069.5516894658535 875.977464293998 2814.4663298413393 2140.622848844566],[2362.174072265625 1049.86865234375 2757.355224609375 1197.4921875],0.5805187225341797,MH12TE7032,0.9373415317514097,[2],[0 0 0 0],[0 0 0 0]
187,-1,[-1 -1 -1 -1],[2301.404541015625 292.777587890625 2527.14208984375 586.0884399414062],0.3961048126220703,MH12TE7032,0.9373415317514097,[0],[0 0 0 0],[2301.404541015625 292.777587890625 2527.14208984375 586.0884399414062]
283,3.0,[2103.7716047414306 1055.9572457632855 3775.4555977731516 2141.404439389681],[2477.71142578125 1821.4420166015625 3363.9228515625 2105.359375],0.6558388471603394,NH12TE7032,0.6309053625462064,[2],[0 0 0 0],[0 0 0 0]
