                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9343,                  5.862,                 3.9702,                0.00027,                0.05473,                0.00024,                  9e-05,                 5.3193,                 11.542,                 4.3918,             0.00047264,             0.00047264,             0.00047264
                      2,                 3.5821,                 4.1178,                 2.7285,                0.01527,                0.02478,                0.00637,                0.00192,                  3.548,                 14.421,                 2.5815,             0.00093018,             0.00093018,             0.00093018
                      3,                 3.3023,                 3.3744,                 2.2583,                0.10943,                 0.1391,                0.05456,                0.01718,                 3.0439,                  3.668,                  2.128,              0.0013689,              0.0013689,              0.0013689
                      4,                 3.0648,                 2.9074,                 2.0589,                0.10007,                0.09389,                 0.0345,                0.00867,                 3.0496,                 3.5841,                 2.0711,              0.0013441,              0.0013441,              0.0013441
                      5,                 2.9135,                 2.6532,                 1.9199,                0.22928,                0.18288,                0.11133,                 0.0345,                 2.7854,                 2.8405,                 1.9506,              0.0013441,              0.0013441,              0.0013441
                      6,                 2.8055,                 2.4913,                 1.8636,                 0.2494,                0.21329,                0.16343,                0.05304,                 2.5932,                 2.3682,                 1.8331,              0.0013158,              0.0013158,              0.0013158
                      7,                 2.7399,                 2.3047,                 1.7952,                0.28241,                0.22116,                0.16894,                0.05306,                 2.5596,                 2.3067,                 1.8311,              0.0012875,              0.0012875,              0.0012875
                      8,                 2.6748,                 2.1735,                 1.7476,                0.34499,                0.30618,                0.23867,                0.07728,                 2.4594,                 2.0385,                 1.7606,              0.0012592,              0.0012592,              0.0012592
                      9,                 2.6164,                 2.0874,                 1.7116,                0.37435,                0.32833,                0.26687,                0.08399,                 2.4132,                 2.0144,                  1.756,              0.0012309,              0.0012309,              0.0012309
                     10,                  2.578,                 2.0553,                 1.6852,                0.33415,                 0.3159,                0.27046,                0.09377,                 2.3445,                 2.0947,                 1.7145,              0.0012026,              0.0012026,              0.0012026
                     11,                  2.529,                 1.9917,                 1.6552,                0.36581,                0.31285,                0.26404,                0.08286,                 2.4171,                 1.9551,                 1.7098,              0.0011744,              0.0011744,              0.0011744
                     12,                 2.4855,                 1.9113,                 1.6177,                  0.401,                0.29575,                0.29799,                0.10327,                 2.2951,                 2.0341,                 1.6752,              0.0011461,              0.0011461,              0.0011461
                     13,                 2.4722,                  1.894,                 1.6159,                0.44576,                 0.4003,                0.35587,                0.11995,                  2.271,                 1.7974,                 1.6341,              0.0011178,              0.0011178,              0.0011178
                     14,                  2.429,                 1.8332,                 1.5857,                0.45537,                0.40536,                0.37586,                0.13544,                 2.2194,                 1.7719,                 1.6182,              0.0010895,              0.0010895,              0.0010895
                     15,                 2.3779,                 1.7779,                 1.5456,                0.44368,                0.37584,                 0.3696,                0.13499,                 2.2145,                 1.7197,                 1.6118,              0.0010612,              0.0010612,              0.0010612
                     16,                 2.3551,                 1.7088,                 1.5474,                 0.4493,                 0.3733,                0.35649,                0.11961,                 2.2801,                 1.7276,                 1.6244,              0.0010329,              0.0010329,              0.0010329
                     17,                 2.3423,                 1.6921,                 1.5292,                0.50402,                0.45126,                0.44333,                0.16471,                 2.1719,                 1.6254,                  1.576,              0.0010046,              0.0010046,              0.0010046
                     18,                 2.3309,                 1.6708,                 1.5283,                0.49575,                0.43768,                0.43978,                0.16777,                 2.1576,                 1.5669,                 1.5705,             0.00097629,             0.00097629,             0.00097629
                     19,                 2.2995,                 1.6181,                 1.4925,                0.50028,                0.44877,                0.43472,                0.15728,                 2.1667,                 1.6735,                 1.5657,               0.000948,               0.000948,               0.000948
                     20,                 2.2933,                 1.5949,                 1.4754,                0.56704,                0.43259,                0.45972,                0.17752,                 2.1308,                 1.5162,                   1.55,              0.0009197,              0.0009197,              0.0009197
                     21,                 2.2718,                 1.5733,                 1.4763,                0.56904,                 0.4893,                0.49904,                0.19048,                 2.1094,                 1.4657,                 1.5281,             0.00089141,             0.00089141,             0.00089141
                     22,                  2.274,                 1.5737,                 1.4628,                0.54544,                 0.4705,                0.48983,                0.18333,                 2.1078,                 1.4656,                 1.5217,             0.00086312,             0.00086312,             0.00086312
                     23,                 2.2445,                 1.5208,                   1.44,                0.60842,                 0.5208,                0.54876,                0.20571,                 2.0912,                 1.4087,                 1.5214,             0.00083482,             0.00083482,             0.00083482
                     24,                 2.2327,                 1.5037,                 1.4538,                0.57608,                0.47665,                0.50866,                0.19318,                  2.117,                 1.4123,                 1.5382,             0.00080653,             0.00080653,             0.00080653
                     25,                 2.2144,                 1.4611,                 1.4378,                0.59521,                0.50774,                 0.5336,                0.20558,                 2.0758,                 1.4188,                 1.5149,             0.00077823,             0.00077823,             0.00077823
                     26,                 2.1984,                 1.4934,                 1.4259,                0.60914,                0.50796,                 0.5511,                0.20787,                 2.0829,                 1.4067,                 1.5042,             0.00074994,             0.00074994,             0.00074994
                     27,                 2.1734,                 1.4378,                 1.4123,                0.61985,                0.54191,                0.57574,                0.23068,                 2.0017,                 1.3545,                 1.4663,             0.00072164,             0.00072164,             0.00072164
                     28,                 2.1906,                 1.4429,                 1.4274,                0.64804,                0.55473,                0.59777,                0.23463,                 1.9917,                 1.3574,                  1.461,             0.00069335,             0.00069335,             0.00069335
                     29,                 2.1765,                 1.4273,                 1.4169,                0.64784,                0.52608,                0.57783,                0.22727,                 2.0187,                 1.2986,                 1.4629,             0.00066506,             0.00066506,             0.00066506
                     30,                 2.1647,                 1.3849,                 1.4121,                0.65715,                0.52837,                0.58692,                0.23143,                 2.0386,                 1.3619,                 1.4704,             0.00063676,             0.00063676,             0.00063676
                     31,                 2.1498,                  1.387,                 1.4052,                0.66834,                0.56024,                0.60873,                0.24479,                  1.989,                 1.2856,                 1.4529,             0.00060847,             0.00060847,             0.00060847
                     32,                 2.1646,                 1.3896,                  1.403,                 0.6548,                0.54597,                0.59675,                0.23815,                 1.9732,                 1.3068,                 1.4557,             0.00058017,             0.00058017,             0.00058017
                     33,                 2.1359,                 1.3635,                 1.3826,                0.69591,                0.57915,                0.64194,                0.25629,                 1.9814,                  1.229,                 1.4442,             0.00055188,             0.00055188,             0.00055188
                     34,                  2.114,                 1.3317,                 1.3919,                 0.6789,                0.58629,                0.63871,                0.25945,                 1.9783,                 1.2615,                 1.4383,             0.00052359,             0.00052359,             0.00052359
